file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000417.spc,182.444,234.825,131.568,25.7471,4.8577,0.4006,0.3495
spect_000418.spc,258.439,93.571,2807.353,34.2406,0.0000,24.3784,-1.4839
spect_000419.spc,326.944,116.883,3454.133,43.4420,0.0000,29.9650,-4.9858
spect_000420.spc,259.481,97.728,3065.607,34.0610,0.0000,26.6968,-4.9869
spect_000421.spc,362.957,77.048,391.105,52.6564,0.0000,2.3063,-0.8178
spect_000422.spc,66.456,59.823,3058.200,5.7996,0.0000,27.2737,-3.2567
spect_000423.spc,183.238,64.043,1840.156,24.4706,0.0000,15.9333,-5.4993
spect_000424.spc,102.133,48.373,1853.859,12.5742,0.0000,16.3269,-0.6598
spect_000425.spc,22.611,199.223,2056.145,0.0000,4.0254,18.2664,0.3195
spect_000426.spc,267.965,88.051,2324.884,36.2564,0.0000,20.0089,-1.3157
spect_000427.spc,307.726,64.588,283.569,44.7055,0.0000,1.5236,0.3666
spect_000428.spc,239.516,74.149,1780.582,32.7898,0.0000,15.2101,-0.0604
spect_000429.spc,132.188,61.891,2352.516,16.3346,0.0000,20.7100,-1.4377
spect_000430.spc,481.912,117.992,1544.469,68.5953,0.0000,12.2792,-2.6828
spect_000431.spc,249.024,65.608,1101.008,35.0564,0.0000,9.0686,-2.1550
spect_000432.spc,45.267,155.714,784.095,5.0707,3.3236,6.7795,0.2714
spect_000433.spc,332.944,90.865,1677.623,46.6059,0.0000,13.9730,-4.4405
spect_000434.spc,497.448,116.665,1259.073,71.2379,0.0000,9.6615,-2.5246
spect_000435.spc,454.963,118.785,1940.966,64.1384,0.0000,15.9338,-0.9024
spect_000436.spc,76.629,60.150,2949.422,7.4295,0.0000,26.2618,-0.1097
spect_000437.spc,251.593,113.143,696.343,35.7359,1.3119,5.3748,0.1705
spect_000438.spc,35.567,68.957,4049.958,0.0000,0.0000,36.2932,-2.1187
spect_000439.spc,389.641,82.967,436.530,56.5062,0.0000,2.6257,-1.0300
spect_000440.spc,149.749,80.128,60.429,21.6512,1.2295,0.0000,0.4053
spect_000441.spc,184.515,50.837,961.117,25.7882,0.0000,8.0259,-0.0200
spect_000442.spc,324.522,96.401,2146.987,44.7687,0.0000,18.2209,-0.5653
spect_000443.spc,290.244,106.330,3234.090,38.3499,0.0000,28.1090,-5.1890
spect_000444.spc,306.676,88.451,1855.914,42.5292,0.0000,15.6635,-2.5985
spect_000445.spc,277.155,56.933,174.450,40.3685,0.0000,0.6445,0.3977
spect_000446.spc,431.617,89.236,309.158,62.8179,0.0000,1.3406,0.3426
spect_000447.spc,168.752,74.743,2724.439,21.2115,0.0000,23.9319,-0.3210
spect_000448.spc,161.105,112.522,1053.852,21.9755,1.5983,8.8805,0.0889
spect_000449.spc,424.091,118.640,2326.362,59.1210,0.0000,19.5017,-3.6207
spect_000450.spc,218.378,331.979,109.226,30.6694,7.0872,0.0000,0.2063
spect_000451.spc,63.499,75.625,1931.832,6.6782,0.8287,17.1270,0.1553
spect_000452.spc,328.822,99.423,2289.446,45.2153,0.0000,19.4874,-0.9301
spect_000453.spc,81.252,56.563,2655.946,8.4841,0.0000,23.6078,-2.5235
spect_000454.spc,448.707,137.590,3249.485,61.5390,0.0000,27.7191,-3.9440
spect_000455.spc,41.137,28.263,1320.206,4.3269,0.0000,11.7324,-0.3244
spect_000456.spc,434.400,120.528,2317.824,60.6420,0.0000,19.3906,-1.1656
spect_000457.spc,303.928,108.532,3202.943,40.3941,0.0000,27.7833,-1.7792
spect_000458.spc,99.008,70.228,159.831,14.0977,1.1928,1.0642,0.2614
spect_000459.spc,88.820,169.626,47.819,12.3286,3.7341,0.0000,0.3804
spect_000460.spc,237.483,70.377,1560.190,32.7755,0.0000,13.2354,-4.7611
spect_000461.spc,197.418,93.679,3594.918,24.2903,0.0000,31.6625,-3.2768
spect_000462.spc,275.624,99.943,3003.861,36.5048,0.0000,26.0878,-5.6335
spect_000463.spc,419.803,123.183,2677.964,58.0408,0.0000,22.6771,-1.0672
spect_000464.spc,377.583,92.569,1218.007,53.7350,0.0000,9.6919,-2.3231
spect_000465.spc,55.516,36.975,458.730,7.4631,0.4703,3.9224,0.0687
spect_000466.spc,312.919,88.076,1751.569,43.5779,0.0000,14.7045,-3.6933
spect_000467.spc,155.178,66.240,2342.585,19.7145,0.0000,20.5440,-2.2944
spect_000468.spc,177.621,81.268,3037.294,22.1081,0.0000,26.7151,-3.2459
spect_000469.spc,414.181,133.359,3414.639,56.2698,0.0000,29.3191,-4.7418
spect_000470.spc,242.315,68.528,315.342,35.0180,0.4007,2.0129,0.3014
spect_000471.spc,25.805,50.030,2938.330,0.0000,0.0000,26.3315,-2.4689
spect_000472.spc,118.685,63.057,2601.435,14.0367,0.0000,22.9929,-1.0588
spect_000473.spc,110.397,65.948,2896.278,12.4437,0.0000,25.6714,-0.6360
spect_000474.spc,148.469,69.706,2654.854,18.3303,0.0000,23.3739,-3.8474
spect_000475.spc,33.104,64.180,3769.413,0.0000,0.0000,33.7791,-0.1010
spect_000476.spc,384.983,123.388,3136.721,52.3509,0.0000,26.9177,-3.1479
spect_000477.spc,235.059,81.254,2301.742,31.4666,0.0000,19.9105,-1.7708
spect_000478.spc,398.914,121.173,2813.847,54.8066,0.0000,23.9684,-2.2861
spect_000479.spc,162.583,88.374,3693.882,19.0610,0.0000,32.6684,-0.6169
spect_000480.spc,425.732,126.030,2788.142,58.7674,0.0000,23.6479,-3.0838
spect_000481.spc,33.930,271.601,1043.700,2.6104,6.1366,9.0505,0.3594
spect_000482.spc,76.739,46.591,2062.200,8.5868,0.0000,18.2847,-0.6149
spect_000483.spc,322.698,116.831,3504.999,42.7547,0.0000,30.4364,-2.9170
spect_000484.spc,238.052,195.524,153.580,34.0696,3.6124,0.4577,0.3446
spect_000485.spc,430.232,135.854,3372.378,58.6751,0.0000,28.8856,-4.1106
spect_000486.spc,399.750,110.562,2109.969,55.8344,0.0000,17.6373,-1.3676
spect_000487.spc,378.443,87.710,889.595,54.2834,0.0000,6.7364,-1.9281
spect_000488.spc,343.990,114.889,3105.822,46.3868,0.0000,26.7766,-1.7860
spect_000489.spc,455.042,92.474,221.049,66.3622,0.0000,0.4704,0.4258
spect_000490.spc,449.135,90.483,166.541,65.5671,0.0000,0.0000,-0.1494
spect_000491.spc,420.258,84.665,155.833,61.3516,0.0000,0.0000,-0.1573
spect_000492.spc,44.332,37.725,1897.513,4.0522,0.0000,16.9121,-3.3104
spect_000493.spc,399.284,225.132,162.250,57.6814,3.5608,0.0000,0.3441
