file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000431.spc,2.876,10.012,53.964,0.3166,0.2125,0.4680,1.0000
spect_000432.spc,1.701,22.895,41.846,0.1057,0.5403,0.3512,1.0000
spect_000433.spc,3.145,2.754,68.207,0.3684,0.0270,0.6018,1.0000
spect_000434.spc,3.834,2.307,56.546,0.4860,0.0170,0.4950,1.0000
spect_000435.spc,2.710,13.493,48.103,0.2852,0.3013,0.4126,1.0000
spect_000436.spc,1.566,16.624,61.320,0.0877,0.3790,0.5325,1.0000
spect_000437.spc,2.553,19.618,34.740,0.2534,0.4581,0.2874,1.0000
spect_000438.spc,1.320,8.659,87.047,0.0524,0.1742,0.7720,1.0000
spect_000439.spc,4.168,5.179,42.456,0.5406,0.0915,0.3645,1.0000
spect_000440.spc,3.276,20.818,17.632,0.3758,0.4906,0.1300,1.0000
spect_000441.spc,2.359,17.970,42.722,0.2217,0.4154,0.3613,1.0000
spect_000442.spc,2.343,15.329,50.111,0.2211,0.3476,0.4303,1.0000
spect_000443.spc,2.317,5.363,76.916,0.2252,0.0920,0.6805,1.0000
spect_000444.spc,2.630,10.190,58.212,0.2745,0.2165,0.5068,1.0000
spect_000445.spc,3.272,16.738,28.681,0.3784,0.3859,0.2331,1.0000
spect_000446.spc,3.327,15.881,30.020,0.3884,0.3640,0.2458,1.0000
spect_000447.spc,1.854,16.186,56.895,0.1373,0.3685,0.4921,1.0000
spect_000448.spc,2.141,20.036,41.163,0.1832,0.4680,0.3462,1.0000
spect_000449.spc,2.860,7.073,62.345,0.3160,0.1370,0.5461,1.0000
spect_000450.spc,2.919,26.512,9.117,0.3105,0.6359,0.0494,1.0000
spect_000451.spc,1.610,19.606,52.544,0.0927,0.4556,0.4507,1.0000
spect_000452.spc,2.359,14.288,52.652,0.2246,0.3209,0.4540,1.0000
spect_000453.spc,1.629,9.430,78.969,0.1048,0.1948,0.6976,1.0000
spect_000454.spc,2.592,7.701,65.622,0.2699,0.1525,0.5759,1.0000
spect_000455.spc,1.616,15.643,62.841,0.0972,0.3541,0.5469,1.0000
spect_000456.spc,2.573,13.278,51.207,0.2620,0.2955,0.4412,1.0000
spect_000457.spc,2.163,12.523,61.050,0.1927,0.2752,0.5318,1.0000
spect_000458.spc,2.623,21.036,28.986,0.2649,0.4949,0.2341,1.0000
spect_000459.spc,2.555,26.551,15.946,0.2483,0.6361,0.1120,0.9999
spect_000460.spc,2.799,4.722,69.635,0.3077,0.0766,0.6140,1.0000
spect_000461.spc,1.915,8.865,75.406,0.1535,0.1808,0.6651,1.0000
spect_000462.spc,2.371,4.088,79.402,0.2353,0.0594,0.7038,1.0000
spect_000463.spc,2.431,13.828,52.295,0.2376,0.3094,0.4510,1.0000
spect_000464.spc,3.299,7.142,53.663,0.3910,0.1399,0.4665,1.0000
spect_000465.spc,2.038,19.735,43.409,0.1664,0.4602,0.3670,0.9999
spect_000466.spc,2.842,7.030,62.803,0.3130,0.1358,0.5503,1.0000
spect_000467.spc,1.976,11.239,67.709,0.1622,0.2419,0.5935,1.0000
spect_000468.spc,1.942,9.078,74.210,0.1581,0.1864,0.6540,1.0000
spect_000469.spc,2.546,6.111,70.696,0.2635,0.1117,0.6231,1.0000
spect_000470.spc,2.876,18.861,30.259,0.3095,0.4396,0.2467,1.0000
spect_000471.spc,1.215,7.571,91.856,0.0356,0.1461,0.8166,1.0000
spect_000472.spc,1.763,13.555,65.718,0.1238,0.3008,0.5742,1.0000
spect_000473.spc,1.682,14.648,64.190,0.1093,0.3287,0.5597,1.0000
spect_000474.spc,1.939,7.665,78.034,0.1587,0.1501,0.6897,1.0000
spect_000475.spc,1.255,16.255,67.914,0.0354,0.3689,0.5932,1.0000
spect_000476.spc,2.427,9.675,63.557,0.2401,0.2028,0.5561,1.0000
spect_000477.spc,2.203,12.524,60.127,0.1997,0.2754,0.5234,1.0000
spect_000478.spc,2.475,11.202,58.574,0.2471,0.2420,0.5097,1.0000
spect_000479.spc,1.739,14.896,62.740,0.1185,0.3351,0.5463,1.0000
spect_000480.spc,2.604,9.315,60.905,0.2709,0.1940,0.5319,1.0000
spect_000481.spc,1.558,24.481,40.418,0.0800,0.5806,0.3374,1.0000
spect_000482.spc,1.673,14.701,64.115,0.1078,0.3301,0.5590,1.0000
spect_000483.spc,2.204,10.246,66.166,0.2018,0.2169,0.5798,1.0000
spect_000484.spc,2.763,21.906,24.467,0.2875,0.5173,0.1922,1.0000
spect_000485.spc,2.538,7.536,67.222,0.2607,0.1481,0.5906,1.0000
spect_000486.spc,2.609,12.719,52.003,0.2687,0.2813,0.4488,1.0000
spect_000487.spc,3.646,5.646,51.052,0.4514,0.1023,0.4432,1.0000
spect_000488.spc,2.262,12.467,59.239,0.2096,0.2740,0.5152,1.0000
spect_000489.spc,3.313,16.770,27.805,0.3853,0.3869,0.2251,1.0000
spect_000490.spc,4.398,11.210,22.180,0.5747,0.2467,0.1759,1.0000
spect_000491.spc,4.404,11.063,22.703,0.5756,0.2429,0.1807,1.0000
spect_000492.spc,1.534,6.650,88.042,0.0910,0.1233,0.7820,1.0000
spect_000493.spc,3.391,21.174,14.666,0.3950,0.5000,0.1026,1.0000
spect_000494.spc,2.122,25.718,25.319,0.1766,0.6141,0.1985,0.9999
spect_000495.spc,1.720,3.895,92.141,0.1247,0.0529,0.8208,1.0000
spect_000496.spc,2.132,19.373,41.404,0.1841,0.4516,0.3490,0.9994
spect_000497.spc,3.349,7.601,51.364,0.3993,0.1518,0.4452,1.0000
spect_000498.spc,3.529,3.782,58.312,0.4328,0.0542,0.5106,1.0000
spect_000499.spc,3.396,4.052,60.080,0.4101,0.0608,0.5267,1.0000
spect_000500.spc,3.515,21.683,10.846,0.4159,0.5134,0.0674,1.0000
spect_000501.spc,1.927,13.974,61.580,0.1513,0.3119,0.5360,1.0000
spect_000502.spc,2.168,12.902,59.735,0.1934,0.2850,0.5196,1.0000
spect_000503.spc,2.141,13.216,59.513,0.1884,0.2930,0.5174,1.0000
spect_000504.spc,2.054,4.554,84.323,0.1807,0.0705,0.7487,1.0000
spect_000505.spc,4.266,12.642,20.867,0.5510,0.2831,0.1632,1.0000
spect_000506.spc,4.352,10.269,25.432,0.5678,0.2225,0.2062,1.0000
spect_000507.spc,1.326,16.688,65.626,0.0468,0.3801,0.5720,1.0000
spect_000508.spc,3.332,22.771,11.127,0.3841,0.5410,0.0695,1.0000
spect_000509.spc,2.124,22.226,35.715,0.1783,0.5241,0.2952,1.0000
spect_000510.spc,1.259,5.317,97.011,0.0449,0.0884,0.8648,1.0000
